"","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","F13","F14","F15","H01","H02","H03","H04"
"1961",NA,19.9030522121349,19.5156505045735,18.9403266847246,NA,NA,19.8402103144447,18.4387562556403,NA,19.0239697914956,NA,19.4005337712995,19.7040794323911,NA,19.5889201453769,NA,NA,NA,NA
"1962",NA,19.6626040885895,19.8196717944505,20.6162257713099,NA,NA,20.1863513555161,19.5893223819302,NA,19.1498532460335,NA,19.9558362861398,19.8091991086374,NA,19.4951185208759,NA,NA,NA,NA
"1963",NA,19.328283139332,20.2498613023198,20.2917908147539,NA,NA,20.2079352359818,20.1240934398948,NA,18.7322397644621,NA,19.5585215605749,20.2079352359818,NA,19.9354997740438,NA,NA,NA,NA
"1964",NA,20.082796593629,20.5650507189032,20.1666341343141,NA,NA,19.5800605780584,19.5172534162894,NA,19.1614922769025,NA,19.0882781552103,19.8313666286677,NA,19.192872978077,NA,NA,NA,20.2190395956192
"1965",NA,19.6120711784698,20.5656848033875,20.3664313532065,NA,NA,19.9472046180552,19.4131898817346,NA,18.764748127629,NA,18.8379179791305,19.5597264718566,NA,19.6434805824246,NA,NA,NA,19.9472046180552
"1966",NA,19.3403344522805,19.5496596264619,19.7800166373972,NA,NA,19.8638086336699,19.2775536599637,NA,19.591534978283,NA,19.2357040945157,19.4449862940566,NA,19.2566284476653,NA,NA,NA,19.2670909464176
"1967",NA,19.8225216712543,20.3255374244729,20.2626333203181,NA,NA,20.4199081258286,19.3409300893132,NA,19.6444891713989,NA,19.1421445360211,20.1892550010788,NA,20.0320512820513,NA,NA,NA,20.3255374244729
"1968",NA,20.1060266710502,20.3366491285761,19.781235556925,NA,NA,19.9174130988578,19.6136823404976,NA,19.0695144355608,NA,19.9488438504761,19.2473515644247,NA,19.8126579158193,NA,NA,NA,19.8650328173629
"1969",NA,19.7504236635341,19.9913706313821,19.8656449657949,NA,NA,19.3735177256907,19.8865970909689,NA,19.0805612292028,NA,18.8191351817268,19.9704142011834,NA,19.8446937014668,NA,NA,NA,17.4514525798022
"1970",NA,19.1648360672566,19.9919867678936,20.0548632015863,NA,NA,19.4159804505411,18.8719906409704,NA,19.656776658348,NA,18.8197145231963,19.7405585283937,NA,19.7405585283937,NA,NA,NA,20.1282288391591
"1971",NA,19.228005338261,20.1810540593307,19.6571804167651,NA,NA,19.6781250320951,19.1966164680279,NA,19.228005338261,NA,18.8201007706595,20.1076793457041,NA,19.7828610166706,NA,NA,NA,20.086717080388
"1972",NA,19.448380670733,19.9091861683549,19.6473137716064,NA,NA,19.7101508817699,18.7370451700289,NA,18.9252432365861,NA,18.8415910676902,20.0034931626478,NA,19.8672775460728,NA,NA,NA,20.2445791799404
"1973",NA,19.4594483580128,19.689811010682,19.2605825402203,NA,NA,20.3395753252893,19.3338398669323,NA,18.319639761619,NA,18.7794390797049,19.6688646494526,NA,19.7317063149677,NA,NA,NA,19.7317063149677
"1974",NA,19.3135030238313,19.8580248816018,18.9264087036847,NA,NA,19.7008915731953,19.4809862698584,NA,18.3410951316086,NA,19.0100798587588,19.3344354201107,NA,19.3239691145063,NA,NA,NA,19.7846899782225
"1975",NA,19.4711168164313,19.5758229343193,19.1780540640432,NA,NA,19.1048147007494,19.1362017103494,NA,18.1327754017825,NA,19.8376823505239,19.8062521187964,NA,19.5758229343193,NA,NA,NA,20.340829667393
"1976",NA,19.4089013945655,19.8487712665406,19.7125805093016,NA,NA,18.7288979198095,18.6661741013248,NA,18.2168793336889,NA,19.377496636921,19.8906834340196,NA,19.785909473814,NA,NA,NA,19.11586555243
"1977",NA,19.3150895928531,19.9854091100585,19.8701352073316,NA,NA,19.1057953903804,18.1441480250674,NA,18.3321535920557,NA,19.85965705362,19.2104317470096,NA,20.1950647989229,NA,NA,NA,19.7234606455324
"1978",NA,19.5983770735966,20.4788683163533,19.9650637073572,NA,NA,20.0489148306478,19.3156846234417,NA,18.2909314731227,NA,19.2633513713329,19.5250713830858,NA,19.5774315149399,NA,NA,NA,20.1642326389246
